Team,Primary,Secondary
Hawks,E13A3E,C4D600
Celtics,008348,BB9753
Nets,061922,FFFFFF
Bobcats,1D1160,008CA8
Bulls,CE1141,061922
Cavaliers,860038,FDBB30
Mavericks,007DC5,C4CED3
Nuggets,4D90CD,FDB927
Pistons,ED174C,006BB6
Warriors,FDB927,006BB6
Rockets,CE1141,C4CED3
Pacers,FFC633,00275D
Clippers,ED174C,006BB6
Lakers,FDB927,552582
Grizzlies,0F586C,7399C6
Heat,98002E,F9A01B
Bucks,00471B,F0EBD2
Timberwolves,005083,00A94F
Hornets,002B5C,E31837
Knicks,006BB6,F58426
Thunder,007DC3,F05133
Magic,007DC5,C4CED3
76ers,ED174C,006BB6
Suns,E56020,1D1160
Trail Blazers,E03A3E,BAC3C9
Kings,724C9F,8E9090
Spurs,BAC3C9,061922
Raptors,CE1141,061922
Jazz,002B5C,F9A01B
Wizards,002B5C,E31837
